,tenure,MonthlyCharges,Contract,InternetService,Churn_Probability,Risk_Level,Monthly_Revenue
878,60,64.75,One year,DSL,38.0,Medium Risk,64.75
1163,12,89.75,Month-to-month,Fiber optic,38.0,Medium Risk,89.75
499,12,99.7,Month-to-month,Fiber optic,38.0,Medium Risk,99.7
898,12,98.9,Month-to-month,Fiber optic,38.0,Medium Risk,98.9
978,62,103.75,One year,Fiber optic,38.0,Medium Risk,103.75
775,72,110.65,Two year,Fiber optic,38.0,Medium Risk,110.65
249,42,99.0,One year,Fiber optic,38.0,Medium Risk,99.0
576,31,98.05,One year,Fiber optic,38.0,Medium Risk,98.05
856,72,86.05,Two year,DSL,38.0,Medium Risk,86.05
726,22,26.25,Two year,No,38.0,Medium Risk,26.25
881,26,19.3,One year,No,38.0,Medium Risk,19.3
220,4,70.15,Month-to-month,Fiber optic,38.0,Medium Risk,70.15
91,1,74.7,Month-to-month,Fiber optic,38.0,Medium Risk,74.7
1294,6,44.75,Month-to-month,DSL,38.0,Medium Risk,44.75
208,19,106.6,Month-to-month,Fiber optic,37.7,Medium Risk,106.6
852,2,24.85,Month-to-month,No,37.0,Medium Risk,24.85
153,62,86.1,Two year,DSL,37.0,Medium Risk,86.1
929,30,86.45,One year,Fiber optic,37.0,Medium Risk,86.45
1220,17,65.75,Month-to-month,DSL,37.0,Medium Risk,65.75
215,57,58.75,Month-to-month,DSL,37.0,Medium Risk,58.75
131,25,58.6,Month-to-month,DSL,37.0,Medium Risk,58.6
935,4,83.25,Month-to-month,Fiber optic,37.0,Medium Risk,83.25
967,3,20.85,Month-to-month,No,36.0,Medium Risk,20.85
561,3,23.6,Month-to-month,No,36.0,Medium Risk,23.6
1149,13,96.65,Month-to-month,Fiber optic,36.0,Medium Risk,96.65
1182,57,53.75,Month-to-month,DSL,36.0,Medium Risk,53.75
1202,53,94.25,One year,Fiber optic,36.0,Medium Risk,94.25
481,48,45.3,Month-to-month,DSL,36.0,Medium Risk,45.3
170,43,84.25,One year,Fiber optic,36.0,Medium Risk,84.25
981,40,19.6,Two year,No,36.0,Medium Risk,19.6
1364,51,85.5,Two year,DSL,36.0,Medium Risk,85.5
6,22,89.1,Month-to-month,Fiber optic,36.0,Medium Risk,89.1
1339,66,105.0,Month-to-month,Fiber optic,36.0,Medium Risk,105.0
343,63,20.5,One year,No,36.0,Medium Risk,20.5
1135,72,114.65,Two year,Fiber optic,36.0,Medium Risk,114.65
865,4,80.6,Month-to-month,Fiber optic,36.0,Medium Risk,80.6
318,24,93.15,Month-to-month,Fiber optic,35.0,Medium Risk,93.15
689,51,83.4,Month-to-month,Fiber optic,35.0,Medium Risk,83.4
658,2,19.85,One year,No,35.0,Medium Risk,19.85
272,1,24.8,Month-to-month,DSL,35.0,Medium Risk,24.8
829,34,44.85,Month-to-month,DSL,35.0,Medium Risk,44.85
765,11,35.8,Month-to-month,DSL,35.0,Medium Risk,35.8
126,27,78.05,Month-to-month,Fiber optic,35.0,Medium Risk,78.05
139,1,70.45,Month-to-month,Fiber optic,35.0,Medium Risk,70.45
1360,13,95.05,Month-to-month,Fiber optic,35.0,Medium Risk,95.05
1010,3,50.15,Month-to-month,DSL,35.0,Medium Risk,50.15
842,12,19.8,One year,No,35.0,Medium Risk,19.8
870,72,98.2,Two year,Fiber optic,34.0,Medium Risk,98.2
1091,29,75.35,One year,DSL,34.0,Medium Risk,75.35
149,15,69.5,Month-to-month,DSL,34.0,Medium Risk,69.5
1347,19,19.95,Two year,No,34.0,Medium Risk,19.95
378,61,89.65,Two year,DSL,34.0,Medium Risk,89.65
1354,18,88.35,Month-to-month,Fiber optic,34.0,Medium Risk,88.35
1160,23,95.1,Month-to-month,Fiber optic,34.0,Medium Risk,95.1
1005,53,95.85,One year,Fiber optic,34.0,Medium Risk,95.85
1216,54,20.4,Two year,No,34.0,Medium Risk,20.4
259,29,45.0,Month-to-month,DSL,34.0,Medium Risk,45.0
717,32,85.65,Month-to-month,Fiber optic,34.0,Medium Risk,85.65
263,31,49.85,Two year,DSL,34.0,Medium Risk,49.85
982,39,47.85,One year,DSL,34.0,Medium Risk,47.85
441,49,101.55,Month-to-month,Fiber optic,33.0,Medium Risk,101.55
453,28,81.05,Month-to-month,Fiber optic,33.0,Medium Risk,81.05
501,71,80.7,Two year,Fiber optic,33.0,Medium Risk,80.7
1152,7,54.85,Month-to-month,DSL,33.0,Medium Risk,54.85
1254,55,88.8,Two year,Fiber optic,33.0,Medium Risk,88.8
308,38,101.15,Month-to-month,Fiber optic,33.0,Medium Risk,101.15
25,30,55.3,Month-to-month,DSL,33.0,Medium Risk,55.3
1206,3,70.15,Month-to-month,Fiber optic,33.0,Medium Risk,70.15
632,72,89.85,Two year,DSL,33.0,Medium Risk,89.85
1000,7,95.35,Month-to-month,Fiber optic,33.0,Medium Risk,95.35
532,2,79.95,Month-to-month,Fiber optic,33.0,Medium Risk,79.95
419,1,75.3,Month-to-month,Fiber optic,33.0,Medium Risk,75.3
483,72,108.5,One year,Fiber optic,33.0,Medium Risk,108.5
181,1,45.3,Month-to-month,DSL,33.0,Medium Risk,45.3
147,1,45.65,Month-to-month,DSL,33.0,Medium Risk,45.65
347,70,19.45,Two year,No,33.0,Medium Risk,19.45
1314,39,89.55,One year,Fiber optic,32.0,Medium Risk,89.55
104,68,110.0,Two year,Fiber optic,32.0,Medium Risk,110.0
1151,1,18.85,Month-to-month,No,32.0,Medium Risk,18.85
277,21,64.95,Month-to-month,DSL,32.0,Medium Risk,64.95
212,61,19.75,Two year,No,32.0,Medium Risk,19.75
1137,71,19.8,Two year,No,32.0,Medium Risk,19.8
188,13,19.65,One year,No,32.0,Medium Risk,19.65
1323,71,24.65,Two year,No,32.0,Medium Risk,24.65
377,25,104.95,Month-to-month,Fiber optic,32.0,Medium Risk,104.95
844,1,89.9,Month-to-month,Fiber optic,31.0,Medium Risk,89.9
999,2,70.3,Month-to-month,DSL,31.0,Medium Risk,70.3
366,23,59.95,Month-to-month,DSL,31.0,Medium Risk,59.95
917,72,65.55,Two year,DSL,31.0,Medium Risk,65.55
1312,48,70.95,One year,DSL,31.0,Medium Risk,70.95
1284,59,19.85,Two year,No,31.0,Medium Risk,19.85
403,68,55.9,One year,DSL,31.0,Medium Risk,55.9
21,12,19.8,One year,No,31.0,Medium Risk,19.8
962,8,60.9,Month-to-month,DSL,31.0,Medium Risk,60.9
977,11,75.25,Month-to-month,Fiber optic,31.0,Medium Risk,75.25
407,32,93.95,Month-to-month,Fiber optic,31.0,Medium Risk,93.95
31,2,95.5,Month-to-month,Fiber optic,31.0,Medium Risk,95.5
834,4,78.85,Month-to-month,Fiber optic,31.0,Medium Risk,78.85
103,66,45.55,One year,DSL,31.0,Medium Risk,45.55
1386,64,86.55,Two year,DSL,30.0,Low Risk,86.55
305,52,24.8,Two year,No,30.0,Low Risk,24.8
496,28,60.9,Month-to-month,DSL,30.0,Low Risk,60.9
492,2,74.4,Month-to-month,Fiber optic,30.0,Low Risk,74.4
1169,70,44.05,One year,DSL,30.0,Low Risk,44.05
497,70,19.8,Two year,No,30.0,Low Risk,19.8
560,56,107.25,One year,Fiber optic,30.0,Low Risk,107.25
1235,61,98.3,One year,Fiber optic,30.0,Low Risk,98.3
53,8,80.65,Month-to-month,Fiber optic,30.0,Low Risk,80.65
714,72,25.4,Two year,No,30.0,Low Risk,25.4
913,12,20.05,One year,No,30.0,Low Risk,20.05
787,34,60.85,Month-to-month,DSL,29.0,Low Risk,60.85
1243,1,45.3,Month-to-month,DSL,29.0,Low Risk,45.3
1275,55,56.8,Two year,DSL,29.0,Low Risk,56.8
1291,8,75.0,Month-to-month,Fiber optic,29.0,Low Risk,75.0
1125,39,105.65,Month-to-month,Fiber optic,29.0,Low Risk,105.65
745,72,110.8,Two year,Fiber optic,29.0,Low Risk,110.8
874,45,99.7,Two year,Fiber optic,29.0,Low Risk,99.7
478,5,96.1,Month-to-month,Fiber optic,29.0,Low Risk,96.1
238,11,95.0,Month-to-month,Fiber optic,29.0,Low Risk,95.0
776,3,40.3,Month-to-month,DSL,29.0,Low Risk,40.3
260,3,41.15,Month-to-month,DSL,29.0,Low Risk,41.15
806,18,55.2,Month-to-month,DSL,29.0,Low Risk,55.2
1076,58,24.5,One year,No,29.0,Low Risk,24.5
364,18,75.9,Month-to-month,Fiber optic,29.0,Low Risk,75.9
1071,2,49.05,Month-to-month,DSL,29.0,Low Risk,49.05
956,71,25.45,Two year,No,28.0,Low Risk,25.45
1155,70,76.1,Two year,DSL,28.0,Low Risk,76.1
543,10,86.05,Month-to-month,Fiber optic,28.0,Low Risk,86.05
522,55,85.5,Month-to-month,Fiber optic,28.0,Low Risk,85.5
613,44,109.8,One year,Fiber optic,28.0,Low Risk,109.8
1277,72,20.1,Two year,No,28.0,Low Risk,20.1
3,45,42.3,One year,DSL,28.0,Low Risk,42.3
1085,13,74.3,Month-to-month,Fiber optic,28.0,Low Risk,74.3
431,72,65.2,Two year,DSL,28.0,Low Risk,65.2
1036,68,114.7,Two year,Fiber optic,28.0,Low Risk,114.7
635,65,105.5,Month-to-month,Fiber optic,28.0,Low Risk,105.5
909,71,111.25,Two year,Fiber optic,28.0,Low Risk,111.25
1366,10,85.6,Month-to-month,Fiber optic,28.0,Low Risk,85.6
1017,64,24.4,One year,No,28.0,Low Risk,24.4
301,4,95.45,Month-to-month,Fiber optic,27.0,Low Risk,95.45
786,72,55.3,Two year,DSL,27.0,Low Risk,55.3
324,69,60.05,Two year,DSL,27.0,Low Risk,60.05
237,18,73.15,Month-to-month,Fiber optic,27.0,Low Risk,73.15
243,65,94.4,Month-to-month,Fiber optic,27.0,Low Risk,94.4
1255,2,30.9,Month-to-month,DSL,27.0,Low Risk,30.9
254,10,19.85,Month-to-month,No,27.0,Low Risk,19.85
1381,2,70.7,Month-to-month,Fiber optic,27.0,Low Risk,70.7
117,10,100.25,Month-to-month,Fiber optic,27.0,Low Risk,100.25
473,24,53.6,Month-to-month,DSL,27.0,Low Risk,53.6
864,22,94.65,Month-to-month,Fiber optic,27.0,Low Risk,94.65
374,37,96.1,Month-to-month,Fiber optic,27.0,Low Risk,96.1
860,26,19.8,One year,No,26.0,Low Risk,19.8
598,51,90.35,One year,Fiber optic,26.0,Low Risk,90.35
200,27,101.9,One year,Fiber optic,26.0,Low Risk,101.9
1247,24,83.15,One year,Fiber optic,26.0,Low Risk,83.15
356,16,54.1,Month-to-month,DSL,26.0,Low Risk,54.1
893,1,24.6,Month-to-month,DSL,26.0,Low Risk,24.6
592,63,83.5,Two year,DSL,26.0,Low Risk,83.5
1251,1,75.8,Month-to-month,Fiber optic,26.0,Low Risk,75.8
270,16,94.45,Month-to-month,Fiber optic,26.0,Low Risk,94.45
49,69,64.15,Two year,DSL,26.0,Low Risk,64.15
282,1,25.4,Month-to-month,No,26.0,Low Risk,25.4
766,22,78.85,Month-to-month,Fiber optic,26.0,Low Risk,78.85
892,32,81.1,Month-to-month,Fiber optic,26.0,Low Risk,81.1
1179,43,94.3,Month-to-month,Fiber optic,26.0,Low Risk,94.3
1384,22,69.25,Month-to-month,Fiber optic,26.0,Low Risk,69.25
257,50,114.35,One year,Fiber optic,26.0,Low Risk,114.35
1181,21,60.05,Month-to-month,DSL,25.5,Low Risk,60.05
185,1,24.8,Month-to-month,DSL,25.0,Low Risk,24.8
607,51,47.85,One year,DSL,25.0,Low Risk,47.85
789,72,69.65,Two year,DSL,25.0,Low Risk,69.65
286,20,44.35,Month-to-month,DSL,25.0,Low Risk,44.35
268,59,19.35,Two year,No,25.0,Low Risk,19.35
910,10,72.85,Month-to-month,Fiber optic,25.0,Low Risk,72.85
127,72,23.55,Two year,No,25.0,Low Risk,23.55
133,1,35.45,Month-to-month,DSL,25.0,Low Risk,35.45
916,23,75.4,Month-to-month,Fiber optic,25.0,Low Risk,75.4
217,66,56.6,Two year,DSL,25.0,Low Risk,56.6
1372,23,95.3,Month-to-month,Fiber optic,25.0,Low Risk,95.3
236,10,29.6,Two year,DSL,25.0,Low Risk,29.6
1280,72,114.85,Two year,Fiber optic,25.0,Low Risk,114.85
699,72,66.5,Two year,DSL,25.0,Low Risk,66.5
1309,18,85.2,Month-to-month,Fiber optic,25.0,Low Risk,85.2
1378,58,66.8,Month-to-month,DSL,25.0,Low Risk,66.8
625,25,95.15,Month-to-month,Fiber optic,24.0,Low Risk,95.15
1052,40,80.75,One year,DSL,24.0,Low Risk,80.75
773,5,88.9,Month-to-month,Fiber optic,24.0,Low Risk,88.9
521,29,51.6,Month-to-month,DSL,24.0,Low Risk,51.6
1331,1,25.15,Month-to-month,DSL,24.0,Low Risk,25.15
666,2,69.65,Month-to-month,Fiber optic,24.0,Low Risk,69.65
565,71,70.85,Two year,DSL,24.0,Low Risk,70.85
1292,62,84.5,Two year,DSL,24.0,Low Risk,84.5
1313,47,109.55,Month-to-month,Fiber optic,24.0,Low Risk,109.55
908,8,19.95,Month-to-month,No,24.0,Low Risk,19.95
831,38,25.05,Two year,No,24.0,Low Risk,25.05
197,59,111.35,Month-to-month,Fiber optic,24.0,Low Risk,111.35
899,50,94.4,Month-to-month,Fiber optic,24.0,Low Risk,94.4
562,7,69.7,Month-to-month,DSL,24.0,Low Risk,69.7
820,61,106.35,Month-to-month,Fiber optic,24.0,Low Risk,106.35
52,25,69.5,Month-to-month,DSL,23.5,Low Risk,69.5
1231,20,64.4,Month-to-month,DSL,23.0,Low Risk,64.4
875,3,34.8,Month-to-month,DSL,23.0,Low Risk,34.8
1212,7,69.55,Month-to-month,Fiber optic,23.0,Low Risk,69.55
1257,45,34.2,One year,DSL,23.0,Low Risk,34.2
445,60,105.9,Month-to-month,Fiber optic,23.0,Low Risk,105.9
515,40,104.8,Month-to-month,Fiber optic,23.0,Low Risk,104.8
443,18,64.8,Month-to-month,DSL,23.0,Low Risk,64.8
148,30,64.5,One year,DSL,23.0,Low Risk,64.5
1304,15,85.6,Month-to-month,Fiber optic,23.0,Low Risk,85.6
927,13,81.15,Month-to-month,Fiber optic,23.0,Low Risk,81.15
988,27,19.15,Month-to-month,No,23.0,Low Risk,19.15
415,16,73.25,Month-to-month,Fiber optic,23.0,Low Risk,73.25
731,5,20.35,Month-to-month,No,23.0,Low Risk,20.35
258,2,44.6,Month-to-month,DSL,23.0,Low Risk,44.6
489,1,74.35,Month-to-month,Fiber optic,23.0,Low Risk,74.35
650,3,69.55,Month-to-month,Fiber optic,23.0,Low Risk,69.55
1369,33,60.9,Month-to-month,DSL,22.7,Low Risk,60.9
1027,47,94.9,One year,Fiber optic,22.0,Low Risk,94.9
221,71,24.75,Two year,No,22.0,Low Risk,24.75
132,67,50.55,Two year,DSL,22.0,Low Risk,50.55
945,3,74.4,Month-to-month,Fiber optic,22.0,Low Risk,74.4
63,18,54.4,One year,DSL,22.0,Low Risk,54.4
1032,8,92.1,Month-to-month,Fiber optic,22.0,Low Risk,92.1
695,1,20.65,Month-to-month,No,22.0,Low Risk,20.65
1311,42,45.1,One year,DSL,22.0,Low Risk,45.1
471,1,55.0,Month-to-month,DSL,22.0,Low Risk,55.0
1302,45,81.0,Two year,DSL,22.0,Low Risk,81.0
232,1,84.6,Month-to-month,Fiber optic,22.0,Low Risk,84.6
66,47,78.9,One year,Fiber optic,22.0,Low Risk,78.9
1201,12,49.4,Month-to-month,DSL,22.0,Low Risk,49.4
470,17,20.65,One year,No,22.0,Low Risk,20.65
520,67,105.4,One year,Fiber optic,22.0,Low Risk,105.4
18,10,55.2,Month-to-month,DSL,22.0,Low Risk,55.2
923,63,79.7,One year,DSL,22.0,Low Risk,79.7
167,72,89.05,Two year,DSL,21.0,Low Risk,89.05
1029,3,88.3,Month-to-month,Fiber optic,21.0,Low Risk,88.3
1351,11,20.45,Month-to-month,No,21.0,Low Risk,20.45
716,71,58.25,Two year,DSL,21.0,Low Risk,58.25
1045,43,99.3,Month-to-month,Fiber optic,21.0,Low Risk,99.3
1042,14,70.2,Month-to-month,Fiber optic,21.0,Low Risk,70.2
439,1,55.05,Month-to-month,DSL,21.0,Low Risk,55.05
1362,4,70.2,Month-to-month,Fiber optic,21.0,Low Risk,70.2
577,9,70.5,Month-to-month,Fiber optic,21.0,Low Risk,70.5
840,55,100.0,One year,Fiber optic,21.0,Low Risk,100.0
575,61,81.05,Two year,DSL,21.0,Low Risk,81.05
355,10,80.25,Month-to-month,Fiber optic,21.0,Low Risk,80.25
112,43,91.65,Month-to-month,Fiber optic,21.0,Low Risk,91.65
1279,25,20.95,One year,No,21.0,Low Risk,20.95
380,41,86.2,One year,Fiber optic,21.0,Low Risk,86.2
737,70,101.0,Two year,Fiber optic,21.0,Low Risk,101.0
1363,72,92.0,Two year,DSL,21.0,Low Risk,92.0
778,59,107.0,One year,Fiber optic,20.0,Low Risk,107.0
972,58,70.1,Two year,DSL,20.0,Low Risk,70.1
1359,9,94.75,Month-to-month,Fiber optic,20.0,Low Risk,94.75
365,5,96.5,Month-to-month,Fiber optic,20.0,Low Risk,96.5
517,5,70.05,Month-to-month,Fiber optic,20.0,Low Risk,70.05
595,12,61.65,Month-to-month,DSL,20.0,Low Risk,61.65
553,23,25.6,Two year,No,20.0,Low Risk,25.6
1241,30,64.5,Month-to-month,DSL,20.0,Low Risk,64.5
402,69,99.45,Month-to-month,Fiber optic,20.0,Low Risk,99.45
1113,37,78.95,Month-to-month,Fiber optic,20.0,Low Risk,78.95
810,58,103.25,One year,Fiber optic,20.0,Low Risk,103.25
418,22,83.3,Month-to-month,Fiber optic,20.0,Low Risk,83.3
210,2,46.0,Month-to-month,DSL,20.0,Low Risk,46.0
1075,59,96.65,Month-to-month,Fiber optic,20.0,Low Risk,96.65
1107,69,24.25,Two year,No,20.0,Low Risk,24.25
10,13,49.95,Month-to-month,DSL,20.0,Low Risk,49.95
535,12,89.55,Month-to-month,Fiber optic,20.0,Low Risk,89.55
401,11,20.05,One year,No,19.8,Low Risk,20.05
768,41,74.25,Month-to-month,Fiber optic,19.0,Low Risk,74.25
753,0,20.25,Two year,No,19.0,Low Risk,20.25
915,1,73.55,Month-to-month,Fiber optic,19.0,Low Risk,73.55
846,65,84.85,Two year,DSL,19.0,Low Risk,84.85
884,49,35.8,One year,DSL,19.0,Low Risk,35.8
476,35,76.05,Month-to-month,DSL,19.0,Low Risk,76.05
871,57,97.55,One year,Fiber optic,19.0,Low Risk,97.55
1371,1,79.2,Month-to-month,Fiber optic,19.0,Low Risk,79.2
1132,11,104.05,Month-to-month,Fiber optic,19.0,Low Risk,104.05
199,1,20.75,Month-to-month,No,19.0,Low Risk,20.75
890,31,89.3,Month-to-month,Fiber optic,19.0,Low Risk,89.3
448,8,94.75,Month-to-month,Fiber optic,19.0,Low Risk,94.75
665,3,74.75,Month-to-month,Fiber optic,19.0,Low Risk,74.75
807,71,108.55,Two year,Fiber optic,19.0,Low Risk,108.55
1318,8,66.7,Month-to-month,DSL,19.0,Low Risk,66.7
651,1,74.6,Month-to-month,Fiber optic,19.0,Low Risk,74.6
405,72,19.8,Two year,No,19.0,Low Risk,19.8
656,68,88.85,Two year,DSL,19.0,Low Risk,88.85
669,70,57.8,Two year,DSL,18.0,Low Risk,57.8
161,20,82.4,Month-to-month,Fiber optic,18.0,Low Risk,82.4
744,5,44.05,Month-to-month,DSL,18.0,Low Risk,44.05
313,5,69.35,Month-to-month,Fiber optic,18.0,Low Risk,69.35
963,56,73.25,Two year,DSL,18.0,Low Risk,73.25
307,29,75.55,Two year,DSL,18.0,Low Risk,75.55
1322,10,19.95,Month-to-month,No,18.0,Low Risk,19.95
375,43,85.1,One year,DSL,18.0,Low Risk,85.1
1209,56,93.15,One year,Fiber optic,18.0,Low Risk,93.15
388,44,90.4,Month-to-month,Fiber optic,18.0,Low Risk,90.4
135,43,25.7,Two year,No,18.0,Low Risk,25.7
534,1,85.0,Month-to-month,Fiber optic,18.0,Low Risk,85.0
858,66,89.0,One year,Fiber optic,18.0,Low Risk,89.0
62,72,42.1,Two year,DSL,18.0,Low Risk,42.1
823,5,63.95,Month-to-month,DSL,18.0,Low Risk,63.95
646,1,45.7,Month-to-month,DSL,18.0,Low Risk,45.7
756,66,19.7,Two year,No,18.0,Low Risk,19.7
190,43,71.9,One year,DSL,18.0,Low Risk,71.9
173,53,94.85,One year,Fiber optic,17.2,Low Risk,94.85
158,16,64.25,Two year,DSL,17.0,Low Risk,64.25
152,70,108.15,One year,Fiber optic,17.0,Low Risk,108.15
12,58,100.35,One year,Fiber optic,17.0,Low Risk,100.35
933,4,84.6,Month-to-month,Fiber optic,17.0,Low Risk,84.6
256,61,115.1,Two year,Fiber optic,17.0,Low Risk,115.1
385,11,19.95,Month-to-month,No,17.0,Low Risk,19.95
540,72,113.1,Two year,Fiber optic,17.0,Low Risk,113.1
903,56,105.6,One year,Fiber optic,17.0,Low Risk,105.6
1293,67,111.2,Two year,Fiber optic,17.0,Low Risk,111.2
719,68,80.35,Month-to-month,Fiber optic,17.0,Low Risk,80.35
959,32,86.1,Month-to-month,Fiber optic,17.0,Low Risk,86.1
1299,11,44.05,Month-to-month,DSL,17.0,Low Risk,44.05
348,23,44.95,Month-to-month,DSL,17.0,Low Risk,44.95
331,8,19.2,One year,No,17.0,Low Risk,19.2
704,4,49.25,Month-to-month,DSL,17.0,Low Risk,49.25
165,69,19.9,Two year,No,16.5,Low Risk,19.9
932,72,19.3,Two year,No,16.0,Low Risk,19.3
1063,10,62.25,Month-to-month,DSL,16.0,Low Risk,62.25
1028,26,83.75,Month-to-month,Fiber optic,16.0,Low Risk,83.75
769,17,64.8,One year,DSL,16.0,Low Risk,64.8
803,46,64.2,Two year,DSL,16.0,Low Risk,64.2
558,11,70.2,Month-to-month,Fiber optic,16.0,Low Risk,70.2
608,72,114.55,Two year,Fiber optic,16.0,Low Risk,114.55
673,22,24.85,Month-to-month,No,16.0,Low Risk,24.85
1266,4,80.25,Month-to-month,Fiber optic,16.0,Low Risk,80.25
519,12,20.05,Month-to-month,No,16.0,Low Risk,20.05
701,35,83.15,Month-to-month,Fiber optic,16.0,Low Risk,83.15
440,16,112.95,Month-to-month,Fiber optic,16.0,Low Risk,112.95
291,35,61.2,One year,DSL,16.0,Low Risk,61.2
465,70,40.05,Two year,DSL,16.0,Low Risk,40.05
1387,72,24.3,Two year,No,16.0,Low Risk,24.3
1324,4,20.35,Month-to-month,No,16.0,Low Risk,20.35
468,44,19.9,Two year,No,16.0,Low Risk,19.9
1336,15,75.35,Month-to-month,Fiber optic,16.0,Low Risk,75.35
352,7,89.15,Month-to-month,Fiber optic,16.0,Low Risk,89.15
690,1,20.45,Month-to-month,No,16.0,Low Risk,20.45
631,46,55.0,Month-to-month,DSL,15.0,Low Risk,55.0
342,66,67.45,Month-to-month,DSL,15.0,Low Risk,67.45
1365,59,41.05,Month-to-month,DSL,15.0,Low Risk,41.05
873,60,50.8,Month-to-month,DSL,15.0,Low Risk,50.8
1326,43,51.25,One year,DSL,15.0,Low Risk,51.25
1329,72,19.4,Two year,No,15.0,Low Risk,19.4
461,24,69.45,Month-to-month,DSL,15.0,Low Risk,69.45
649,24,70.0,Month-to-month,Fiber optic,15.0,Low Risk,70.0
362,58,50.3,One year,DSL,15.0,Low Risk,50.3
590,72,111.9,Two year,Fiber optic,15.0,Low Risk,111.9
68,50,20.15,Two year,No,15.0,Low Risk,20.15
1018,4,40.05,Month-to-month,DSL,15.0,Low Risk,40.05
204,44,68.85,Month-to-month,Fiber optic,15.0,Low Risk,68.85
414,48,70.65,Month-to-month,Fiber optic,15.0,Low Risk,70.65
1205,1,74.9,Month-to-month,Fiber optic,15.0,Low Risk,74.9
333,7,73.85,Month-to-month,Fiber optic,15.0,Low Risk,73.85
1332,69,23.95,Two year,No,15.0,Low Risk,23.95
564,7,64.3,Month-to-month,DSL,15.0,Low Risk,64.3
1316,7,19.95,Month-to-month,No,15.0,Low Risk,19.95
528,35,19.6,Two year,No,15.0,Low Risk,19.6
56,63,99.65,One year,Fiber optic,15.0,Low Risk,99.65
1195,20,60.0,Month-to-month,DSL,15.0,Low Risk,60.0
1385,48,102.5,Two year,Fiber optic,14.0,Low Risk,102.5
536,63,81.55,Month-to-month,Fiber optic,14.0,Low Risk,81.55
876,15,105.1,Month-to-month,Fiber optic,14.0,Low Risk,105.1
294,12,19.7,Month-to-month,No,14.0,Low Risk,19.7
531,70,20.05,Two year,No,14.0,Low Risk,20.05
1325,1,69.25,Month-to-month,Fiber optic,14.0,Low Risk,69.25
1238,16,96.15,Month-to-month,Fiber optic,14.0,Low Risk,96.15
1095,1,80.55,Month-to-month,Fiber optic,14.0,Low Risk,80.55
35,72,99.9,Two year,Fiber optic,14.0,Low Risk,99.9
507,2,94.2,Month-to-month,Fiber optic,14.0,Low Risk,94.2
1047,3,50.25,Month-to-month,DSL,14.0,Low Risk,50.25
891,50,103.85,Month-to-month,Fiber optic,14.0,Low Risk,103.85
715,46,89.15,Month-to-month,Fiber optic,14.0,Low Risk,89.15
698,47,84.95,One year,Fiber optic,14.0,Low Risk,84.95
452,60,60.2,Month-to-month,DSL,14.0,Low Risk,60.2
1403,8,66.25,Month-to-month,DSL,14.0,Low Risk,66.25
467,72,89.7,One year,Fiber optic,14.0,Low Risk,89.7
1070,2,69.75,Month-to-month,Fiber optic,14.0,Low Risk,69.75
1232,34,78.3,Month-to-month,Fiber optic,14.0,Low Risk,78.3
420,5,24.3,Month-to-month,No,14.0,Low Risk,24.3
730,45,87.25,Month-to-month,Fiber optic,14.0,Low Risk,87.25
1400,3,19.95,Month-to-month,No,14.0,Low Risk,19.95
1234,54,105.85,One year,Fiber optic,14.0,Low Risk,105.85
1033,62,23.65,Two year,No,13.2,Low Risk,23.65
191,6,91.0,Month-to-month,Fiber optic,13.0,Low Risk,91.0
832,70,74.1,One year,DSL,13.0,Low Risk,74.1
47,2,80.65,Month-to-month,Fiber optic,13.0,Low Risk,80.65
85,9,99.3,Month-to-month,Fiber optic,13.0,Low Risk,99.3
433,12,45.4,Month-to-month,DSL,13.0,Low Risk,45.4
89,29,33.75,Month-to-month,DSL,13.0,Low Risk,33.75
1317,3,24.6,Month-to-month,No,13.0,Low Risk,24.6
74,3,64.5,Month-to-month,DSL,13.0,Low Risk,64.5
610,9,29.95,Month-to-month,DSL,13.0,Low Risk,29.95
1376,5,70.0,One year,DSL,13.0,Low Risk,70.0
24,49,59.6,Month-to-month,DSL,13.0,Low Risk,59.6
825,16,89.45,Month-to-month,Fiber optic,13.0,Low Risk,89.45
472,9,70.05,Month-to-month,DSL,13.0,Low Risk,70.05
1039,38,79.45,Month-to-month,Fiber optic,13.0,Low Risk,79.45
265,61,88.1,Two year,DSL,13.0,Low Risk,88.1
877,51,60.15,One year,DSL,13.0,Low Risk,60.15
790,60,59.85,Two year,DSL,13.0,Low Risk,59.85
992,22,25.25,Two year,No,13.0,Low Risk,25.25
1030,50,69.75,Month-to-month,Fiber optic,13.0,Low Risk,69.75
504,69,79.45,Two year,DSL,13.0,Low Risk,79.45
511,61,106.45,Month-to-month,Fiber optic,13.0,Low Risk,106.45
1203,60,25.0,Two year,No,13.0,Low Risk,25.0
436,36,20.85,One year,No,12.0,Low Risk,20.85
84,49,20.15,Two year,No,12.0,Low Risk,20.15
337,68,88.15,Two year,DSL,12.0,Low Risk,88.15
526,72,115.75,Two year,Fiber optic,12.0,Low Risk,115.75
887,27,110.5,One year,Fiber optic,12.0,Low Risk,110.5
363,47,20.55,Two year,No,12.0,Low Risk,20.55
421,7,69.85,Month-to-month,Fiber optic,12.0,Low Risk,69.85
1077,41,114.5,Month-to-month,Fiber optic,12.0,Low Risk,114.5
73,62,24.25,Two year,No,12.0,Low Risk,24.25
546,39,86.3,Month-to-month,Fiber optic,12.0,Low Risk,86.3
444,36,80.4,Month-to-month,Fiber optic,12.0,Low Risk,80.4
